iter	Passed	Remaining
796	10507	28951
797	10521	28940
798	10535	28929
799	10549	28920
800	10565	28912
801	10577	28897
802	10590	28882
803	10603	28870
804	10616	28856
805	10640	28872
806	10655	28863
807	10670	28854
808	10684	28844
809	10695	28826
810	10708	28810
811	10720	28795
812	10733	28779
813	10743	28759
814	10754	28740
815	10767	28726
816	10779	28709
817	10790	28691
818	10802	28674
819	10813	28656
820	10830	28651
821	10841	28634
822	10858	28631
823	10870	28613
824	10882	28598
825	10896	28586
826	10908	28569
827	10920	28552
828	10933	28539
829	10946	28528
830	10963	28523
831	10978	28515
832	10991	28500
833	11004	28488
834	11016	28472
835	11030	28460
836	11042	28444
837	11053	28424
838	11066	28410
839	11078	28396
840	11093	28387
841	11106	28372
842	11118	28356
843	11130	28341
844	11144	28328
845	11159	28319
846	11170	28303
847	11182	28286
848	11195	28271
849	11208	28259
850	11223	28250
851	11236	28235
852	11249	28222
853	11265	28215
854	11278	28202
855	11295	28199
856	11309	28187
857	11321	28171
858	11333	28156
859	11346	28141
860	11360	28129
861	11371	28112
862	11383	28096
863	11395	28080
864	11409	28068
865	11425	28063
866	11436	28043
867	11448	28027
868	11460	28011
869	11473	27997
870	11486	27984
871	11498	27969
872	11510	27952
873	11523	27937
874	11536	27924
875	11550	27913
876	11562	27897
877	11573	27879
878	11584	27860
879	11595	27842
880	11608	27829
881	11619	27810
882	11630	27792
883	11642	27775
884	11653	27758
885	11665	27742
886	11678	27727
887	11689	27710
888	11700	27691
889	11712	27675
890	11726	27663
891	11738	27647
892	11749	27629
893	11760	27613
894	11773	27598
895	11786	27585
896	11798	27568
897	11809	27551
898	11821	27534
899	11832	27517
900	11845	27503
901	11858	27491
902	11871	27475
903	11882	27457
904	11893	27440
905	11906	27426
906	11918	27411
907	11930	27394
908	11942	27380
909	11954	27363
910	11967	27350
911	11979	27334
912	11991	27318
913	12004	27304
914	12016	27290
915	12031	27280
916	12043	27265
917	12055	27249
918	12067	27234
919	12079	27217
920	12092	27205
921	12105	27190
922	12116	27173
923	12127	27156
924	12139	27139
925	12152	27126
926	12163	27107
927	12175	27093
928	12188	27078
929	12199	27061
930	12211	27046
931	12222	27029
932	12234	27012
933	12245	26994
934	12257	26979
935	12270	26966
936	12281	26948
937	12292	26931
938	12304	26916
939	12316	26900
940	12329	26885
941	12340	26869
942	12351	26851
943	12362	26833
944	12373	26816
945	12386	26803
946	12398	26786
947	12409	26769
948	12420	26752
949	12432	26735
950	12444	26721
951	12456	26704
952	12466	26686
953	12478	26669
954	12493	26661
955	12507	26650
956	12521	26638
957	12532	26622
958	12543	26604
959	12555	26588
960	12568	26576
961	12581	26562
962	12638	26642
963	12656	26639
964	12703	26697
965	12719	26689
966	12738	26688
967	12758	26689
968	12775	26685
969	12791	26677
970	12812	26681
971	12833	26684
972	12846	26670
973	12861	26659
974	12890	26680
975	12905	26671
976	12919	26658
977	12933	26646
978	12948	26638
979	12963	26627
980	12981	26624
981	13006	26635
982	13021	26626
983	13035	26615
984	13048	26601
985	13064	26592
986	13080	26585
987	13094	26573
988	13109	26563
989	13122	26550
990	13138	26542
991	13151	26527
992	13162	26511
993	13174	26494
994	13186	26478
995	13199	26466
996	13214	26455
997	13226	26440
998	13238	26423
999	13250	26408
1000	13264	26396
1001	13275	26379
1002	13288	26365
1003	13300	26349
1004	13313	26335
1005	13347	26363
1006	13390	26408
1007	13433	26454
1008	13475	26497
1009	13518	26540
1010	13564	26591
1011	13606	26635
1012	13649	26678
1013	13691	26721
1014	13733	26763
1015	13777	26809
1016	13819	26850
1017	13861	26891
1018	13903	26932
1019	13941	26966
1020	13962	26967
1021	13977	26956
1022	13991	26943
1023	14003	26926
1024	14016	26911
1025	14030	26898
1026	14045	26887
1027	14056	26869
1028	14068	26851
1029	14080	26834
1030	14093	26820
1031	14105	26803
1032	14117	26786
1033	14130	26771
1034	14144	26758
1035	14157	26744
1036	14168	26725
1037	14179	26706
1038	14190	26688
1039	14201	26669
1040	14218	26661
1041	14229	26642
1042	14240	26624
1043	14251	26605
1044	14262	26587
1045	14275	26571
1046	14287	26555
1047	14299	26538
1048	14310	26520
1049	14321	26502
1050	14334	26486
1051	14345	26469
1052	14357	26451
1053	14368	26432
1054	14379	26414
1055	14392	26399
1056	14403	26380
1057	14413	26360
1058	14424	26342
1059	14435	26324
1060	14447	26308
1061	14460	26292
1062	14471	26275
1063	14483	26257
1064	14497	26245
1065	14512	26234
1066	14524	26218
1067	14535	26199
1068	14546	26181
1069	14560	26167
1070	14575	26157
1071	14587	26139
1072	14598	26121
1073	14610	26105
1074	14622	26089
1075	14635	26074
1076	14646	26057
1077	14658	26039
1078	14669	26021
1079	14680	26003
1080	14693	25988
1081	14704	25969
1082	14714	25950
1083	14725	25932
1084	14736	25914
1085	14748	25898
1086	14762	25885
1087	14773	25867
1088	14784	25848
1089	14796	25832
1090	14809	25818
1091	14820	25800
1092	14831	25782
1093	14842	25764
1094	14854	25747
1095	14867	25732
1096	14878	25715
1097	14891	25700
1098	14905	25687
1099	14917	25671
1100	14930	25656
1101	14941	25640
1102	14953	25622
1103	14964	25605
1104	14976	25588
1105	14989	25573
1106	15002	25559
1107	15018	25549
1108	15031	25535
1109	15043	25520
1110	15057	25507
1111	15071	25493
1112	15083	25477
1113	15095	25461
1114	15109	25449
1115	15160	25498
1116	15189	25510
1117	15215	25518
1118	15229	25505
1119	15255	25512
1120	15279	25516
1121	15298	25511
1122	15314	25500
1123	15377	25569
1124	15426	25614
1125	15471	25652
1126	15490	25648
1127	15509	25643
1128	15526	25635
1129	15541	25623
1130	15558	25615
1131	15573	25603
1132	15585	25586
1133	15600	25573
1134	15612	25557
1135	15628	25547
1136	15640	25530
1137	15656	25520
1138	15670	25507
1139	15685	25495
1140	15698	25481
1141	15710	25464
1142	15721	25446
1143	15735	25432
1144	15751	25421
1145	15765	25409
1146	15777	25391
1147	15789	25375
1148	15803	25362
1149	15815	25346
1150	15832	25337
1151	15981	25539
1152	16018	25562
1153	16030	25545
1154	16041	25528
1155	16057	25516
1156	16069	25500
1157	16082	25484
1158	16094	25467
1159	16106	25451
1160	16120	25437
1161	16132	25421
1162	16145	25405
1163	16156	25387
1164	16169	25371
1165	16184	25359
1166	16197	25343
1167	16209	25326
1168	16221	25311
1169	16233	25294
1170	16247	25279
1171	16261	25266
1172	16273	25249
1173	16285	25232
1174	16296	25214
1175	16310	25200
1176	16327	25192
1177	16339	25175
1178	16351	25158
1179	16362	25140
1180	16375	25124
1181	16386	25106
1182	16397	25088
1183	16409	25070
1184	16420	25053
1185	16433	25038
1186	16448	25026
1187	16460	25008
1188	16471	24991
1189	16483	24974
1190	16496	24958
1191	16507	24941
1192	16519	24924
1193	16531	24907
1194	16542	24889
1195	16553	24872
1196	16565	24854
1197	16576	24837
1198	16587	24819
1199	16599	24802
1200	16614	24789
1201	16626	24774
1202	16638	24757
1203	16650	24740
1204	16662	24723
1205	16674	24708
1206	16685	24690
1207	16697	24672
1208	16708	24655
1209	16719	24636
1210	16731	24621
1211	16744	24604
1212	16759	24593
1213	16771	24576
1214	16782	24559
1215	16794	24542
1216	16805	24525
1217	16816	24507
1218	16827	24488
1219	16839	24472
1220	16851	24456
1221	16864	24441
1222	16875	24423
1223	16886	24405
1224	16897	24387
1225	16909	24371
1226	16921	24354
1227	16932	24336
1228	16943	24319
1229	16954	24301
1230	16971	24291
1231	16982	24273
1232	16995	24258
1233	17009	24245
1234	17021	24230
1235	17036	24218
1236	17048	24202
1237	17063	24188
1238	17077	24175
1239	17089	24160
1240	17102	24144
1241	17113	24126
1242	17124	24109
1243	17134	24090
