case:concept:name,simulations,n_match,any_match,all_match
20191011386,10,10,True,True
20191011387,10,10,True,True
20191011388,10,10,True,True
20191011389,10,10,True,True
20191011390,10,10,True,True
20191011391,10,10,True,True
20191011392,10,10,True,True
20191011393,10,10,True,True
20191011399,10,10,True,True
20191011404,10,10,True,True
20191011406,10,10,True,True
20191011408,10,10,True,True
20191011412,10,10,True,True
20191011413,10,10,True,True
20191011414,10,10,True,True
20191011417,10,10,True,True
20191011419,10,10,True,True
20191011424,10,10,True,True
20191011429,10,10,True,True
20191011434,10,10,True,True
20191011438,10,10,True,True
20191011450,10,10,True,True
20191011452,10,10,True,True
20191011457,10,10,True,True
20191011463,10,10,True,True
20191011470,10,10,True,True
20191011492,10,10,True,True
20191011493,10,10,True,True
20191011494,10,10,True,True
20191011496,10,10,True,True
20191011498,10,10,True,True
20191011512,10,10,True,True
20191011514,10,10,True,True
20191011522,10,10,True,True
20191011539,10,10,True,True
20191011549,10,10,True,True
20191011553,10,10,True,True
20191011556,10,10,True,True
20191011559,10,10,True,True
20191011560,10,10,True,True
20191011565,10,10,True,True
20191011566,10,10,True,True
20191011570,10,10,True,True
20191011592,10,10,True,True
20191011593,10,10,True,True
20191011595,10,10,True,True
20191011600,10,10,True,True
20191011601,10,10,True,True
20191011604,10,10,True,True
20191011607,10,10,True,True
20191011616,10,10,True,True
20191011617,10,10,True,True
20191011622,10,10,True,True
20191011623,10,10,True,True
20191011624,10,10,True,True
20191011638,10,10,True,True
20191011640,10,10,True,True
20191011645,10,10,True,True
20191011652,10,10,True,True
20191011653,10,10,True,True
20191011656,10,10,True,True
20191011665,10,10,True,True
20191011677,10,9,True,False
20191011680,10,10,True,True
20191011684,10,10,True,True
20191011688,10,10,True,True
20191011695,10,10,True,True
20191011702,10,10,True,True
20191011711,10,10,True,True
20191011715,10,10,True,True
20191011717,10,10,True,True
20191011718,10,10,True,True
20191011725,10,10,True,True
20191011735,10,10,True,True
20191011739,10,10,True,True
20191011741,10,10,True,True
20191011743,10,10,True,True
20191011745,10,10,True,True
20191011749,10,10,True,True
20191011775,10,10,True,True
20191011778,10,10,True,True
20191011779,10,10,True,True
20191011789,10,10,True,True
20191011790,10,10,True,True
20191011798,10,10,True,True
20191011800,10,10,True,True
20191011802,10,10,True,True
20191011809,10,10,True,True
20191011828,10,10,True,True
20191011830,10,10,True,True
20191011835,10,10,True,True
20191011838,10,10,True,True
20191011840,10,10,True,True
20191011843,10,10,True,True
20191011846,10,10,True,True
20191011851,10,10,True,True
20191011855,10,10,True,True
20191011856,10,10,True,True
20191011858,10,10,True,True
20191011862,10,10,True,True
20191011863,10,10,True,True
20191011864,10,10,True,True
20191011866,10,10,True,True
20191011868,10,10,True,True
20191011869,10,6,True,False
20191011870,10,6,True,False
20191011873,10,10,True,True
20191011878,10,10,True,True
20191011881,10,10,True,True
20191011885,10,10,True,True
20191011889,10,10,True,True
20191011890,10,10,True,True
20191011892,10,10,True,True
20191011901,10,10,True,True
20191011909,10,10,True,True
20191011918,10,10,True,True
20191011922,10,10,True,True
20191011926,10,10,True,True
20191011931,10,10,True,True
20191011939,10,10,True,True
20191011943,10,10,True,True
20191011944,10,10,True,True
20191011948,10,10,True,True
20191011951,10,10,True,True
20191011963,10,10,True,True
20191011964,10,10,True,True
20191011968,10,10,True,True
20191011976,10,4,True,False
20191011977,10,10,True,True
20191011982,10,10,True,True
20191011983,10,10,True,True
20191011984,10,10,True,True
20191011987,10,10,True,True
20191011989,10,10,True,True
20191011995,10,10,True,True
20191011996,10,10,True,True
20191011997,10,10,True,True
20191011998,10,10,True,True
20191011999,10,10,True,True
20191012000,10,10,True,True
20191012001,10,10,True,True
20191012002,10,10,True,True
20191012006,10,10,True,True
20191012013,10,10,True,True
20191012017,10,10,True,True
20191012018,10,10,True,True
20191012025,10,10,True,True
20191012027,10,10,True,True
20191012030,10,10,True,True
20191012033,10,10,True,True
20191012037,10,10,True,True
20191012040,10,10,True,True
