iter	Passed	Remaining
900	15179	18515
901	15195	18497
902	15211	18480
903	15227	18461
904	15243	18443
905	15258	18425
906	15276	18409
907	15292	18391
908	15308	18373
909	15324	18355
910	15340	18337
911	15356	18320
912	15372	18302
913	15388	18284
914	15404	18266
915	15420	18248
916	15435	18229
917	15451	18211
918	15469	18196
919	15487	18180
920	15503	18162
921	15520	18145
922	15535	18127
923	15550	18109
924	15565	18089
925	15581	18071
926	15597	18054
927	15613	18036
928	15628	18017
929	15644	17999
930	15660	17981
931	15678	17966
932	15693	17947
933	15709	17929
934	15724	17910
935	15739	17891
936	15755	17873
937	15770	17855
938	15785	17836
939	15801	17818
940	15817	17800
941	15832	17782
942	15850	17766
943	15866	17748
944	15883	17732
945	15898	17713
946	15915	17696
947	15931	17678
948	15947	17661
949	15962	17642
950	15977	17624
951	15993	17606
952	16009	17588
953	16025	17571
954	16041	17553
955	16058	17536
956	16076	17521
957	16093	17504
958	16109	17486
959	16125	17469
960	16142	17452
961	16158	17434
962	16174	17417
963	16196	17406
964	16222	17399
965	16250	17394
966	16276	17387
967	16301	17379
968	16328	17372
969	16353	17365
970	16372	17350
971	16390	17334
972	16408	17319
973	16426	17303
974	16447	17290
975	16468	17278
976	16483	17259
977	16499	17241
978	16517	17225
979	16534	17209
980	16552	17193
981	16568	17176
982	16584	17157
983	16600	17139
984	16616	17122
985	16630	17102
986	16645	17083
987	16661	17066
988	16676	17047
989	16692	17029
990	16708	17011
991	16724	16993
992	16738	16974
993	16754	16956
994	16769	16938
995	16786	16920
996	16802	16903
997	16818	16885
998	16834	16868
999	16850	16850
1000	16867	16833
1001	16883	16816
1002	16899	16797
1003	16914	16780
1004	16930	16762
1005	16946	16744
1006	16962	16726
1007	16979	16709
1008	16994	16691
1009	17010	16673
1010	17026	16656
1011	17041	16637
1012	17057	16619
1013	17074	16602
1014	17089	16584
1015	17104	16565
1016	17121	16549
1017	17136	16530
1018	17152	16512
1019	17167	16494
1020	17183	16476
1021	17199	16459
1022	17215	16441
1023	17230	16423
1024	17246	16405
1025	17263	16388
1026	17280	16372
1027	17297	16354
1028	17312	16336
1029	17328	16318
1030	17344	16301
1031	17360	16283
1032	17376	16266
1033	17392	16248
1034	17409	16231
1035	17424	16213
1036	17440	16196
1037	17456	16178
1038	17471	16160
1039	17487	16142
1040	17504	16125
1041	17520	16107
1042	17535	16089
1043	17552	16073
1044	17570	16057
1045	17588	16041
1046	17604	16024
