case_id,n_valid_pairs,method,pop_size,n_generations,time_s,hv_ratio,igd,n_front_points
193968,303,nsga2,20.0,10.0,0.41608142852783203,1.0,0.0,5
193968,303,nsga2,30.0,3.0,0.11400818824768066,1.0,0.0,5
193968,303,nsga2,30.0,5.0,0.18944549560546875,1.0,0.0,5
193968,303,nsga2,30.0,7.0,0.2696218490600586,1.0,0.0,5
193968,303,nsga2,30.0,10.0,0.3943798542022705,1.0,0.0,5
193968,303,nsga2,50.0,3.0,0.11488509178161621,0.9227403547576998,0.020801109890713175,4
193968,303,nsga2,50.0,5.0,0.24001002311706543,1.0,0.0,5
193968,303,nsga2,50.0,7.0,0.3951842784881592,1.0,0.0,5
193968,303,nsga2,50.0,10.0,0.6724672317504883,1.0,0.0,5
194269,310,exhaustive,,,0.02480792999267578,1.0,0.0,6
194269,310,nsga2,10.0,3.0,0.0979771614074707,0.9205779185934649,0.06579999338167686,2
194269,310,nsga2,10.0,5.0,0.14337730407714844,0.9205779185934649,0.06579999338167686,2
194269,310,nsga2,10.0,7.0,0.21438884735107422,0.9572935599256333,0.034748992647388934,3
194269,310,nsga2,10.0,10.0,0.315903902053833,0.9573032620552901,0.023825298398316194,4
194269,310,nsga2,20.0,3.0,0.08554482460021973,0.9632971789961347,0.012322963977158548,4
194269,310,nsga2,20.0,5.0,0.14355683326721191,0.9999990565648885,0.0013992697280858103,5
194269,310,nsga2,20.0,7.0,0.24587321281433105,0.9999990565648885,0.0013992697280858103,5
194269,310,nsga2,20.0,10.0,0.35755181312561035,1.0,0.0,6
194269,310,nsga2,30.0,3.0,0.17641234397888184,0.9758867092863434,0.012322963977158548,5
194269,310,nsga2,30.0,5.0,0.24068355560302734,0.9999902978703433,0.010923694249072738,5
194269,310,nsga2,30.0,7.0,0.2972390651702881,1.0,0.0,6
194269,310,nsga2,30.0,10.0,0.4081690311431885,1.0,0.0,6
194269,310,nsga2,50.0,3.0,0.1360340118408203,1.0,0.0,6
194269,310,nsga2,50.0,5.0,0.2211921215057373,1.0,0.0,6
194269,310,nsga2,50.0,7.0,0.3302958011627197,1.0,0.0,6
194269,310,nsga2,50.0,10.0,0.6027126312255859,1.0,0.0,6
199800,310,exhaustive,,,0.04374551773071289,1.0,0.0,5
199800,310,nsga2,10.0,3.0,0.10343170166015625,0.832978283171138,0.03865295069612379,4
199800,310,nsga2,10.0,5.0,0.14928674697875977,0.8329812481822396,0.03510261743796826,4
199800,310,nsga2,10.0,7.0,0.24246501922607422,0.8365293437085327,0.0026690586233598344,6
199800,310,nsga2,10.0,10.0,0.30605316162109375,0.8365293437085327,0.0026690586233598344,6
199800,310,nsga2,20.0,3.0,0.1058504581451416,0.9999721743418327,0.03510261743796826,3
199800,310,nsga2,20.0,5.0,0.18956685066223145,0.9637219346501257,0.016135870195656203,4
199800,310,nsga2,20.0,7.0,0.25417542457580566,0.9999993772459713,0.0030720380918319583,4
199800,310,nsga2,20.0,10.0,0.36551594734191895,0.9999993772459713,0.0030720380918319583,4
199800,310,nsga2,30.0,3.0,0.09935116767883301,0.8336785312488064,0.032030579346136304,5
199800,310,nsga2,30.0,5.0,0.17997980117797852,1.0,0.0,5
199800,310,nsga2,30.0,7.0,0.3710799217224121,1.0,0.0,5
199800,310,nsga2,30.0,10.0,0.4375929832458496,1.0,0.0,5
199800,310,nsga2,50.0,3.0,0.11356902122497559,0.8266579974368501,0.03152633847552454,6
199800,310,nsga2,50.0,5.0,0.24228501319885254,1.0,0.0,5
199800,310,nsga2,50.0,7.0,0.4107086658477783,1.0,0.0,5
199800,310,nsga2,50.0,10.0,0.6477196216583252,1.0,0.0,5
201915,310,exhaustive,,,0.08885955810546875,1.0,0.0,4
201915,310,nsga2,10.0,3.0,0.10511088371276855,0.8349908606723573,0.056087722471617016,3
201915,310,nsga2,10.0,5.0,0.21367120742797852,0.9999827882200493,0.026291282488657898,3
201915,310,nsga2,10.0,7.0,0.22605204582214355,0.9999827882200493,0.026291282488657898,3
201915,310,nsga2,10.0,10.0,0.3370544910430908,1.0,0.0,4
201915,310,nsga2,20.0,3.0,0.09845805168151855,0.9999621667524852,0.040126429406991904,3
201915,310,nsga2,20.0,5.0,0.1689903736114502,0.8349984745970136,0.02979643998295912,4
201915,310,nsga2,20.0,7.0,0.23589873313903809,0.8349984745970136,0.02979643998295912,4
201915,310,nsga2,20.0,10.0,0.3481729030609131,1.0,0.0,4
201915,310,nsga2,30.0,3.0,0.09563803672790527,0.8681774261655167,0.005217214278552772,5
201915,310,nsga2,30.0,5.0,0.17757248878479004,0.8799274339496153,0.002435263885165222,4
201915,310,nsga2,30.0,7.0,0.26473045349121094,0.8889925081393578,0.002435263885165222,5
201915,310,nsga2,30.0,10.0,0.50498366355896,1.0,0.0,4
201915,310,nsga2,50.0,3.0,0.12603521347045898,0.7775253866360097,0.0341112550593054,4
201915,310,nsga2,50.0,5.0,0.24389863014221191,1.0,0.0,4
201915,310,nsga2,50.0,7.0,0.32719922065734863,1.0,0.0,4
201915,310,nsga2,50.0,10.0,0.47266530990600586,1.0,0.0,4
202935,310,exhaustive,,,0.038082122802734375,1.0,0.0,4
